01_Elephantine	Elephantine
03_Essene	Essene
02_Samaritan	Samaritan
04_Leontopolis	Leontopolis
05_Sadducee	Sadducee
06_Ebionite	Ebionite
07_Manichaean	Manichaean
08_Basilidian	Basilidian
09_Marcionite	Marcionite
10_Montanist	Montanist
11_Valentinian	Valentinian
12_Bardesaite	Bardesaite
13_Donatist	Donatist
14_Arian	Arian
15_Palestinian	Palestinian
16_Assyrian	Assyrian
17_Coptic	Coptic
18_Syrian	Syrian
19_Armenian	Armenian
20_Karaite	Karaite
21_Patarene	Patarene
22_WestPaulician	WestPaulician
23_EastPaulician	EastPaulician
24_Eastern	Eastern
25_Roman	Roman
26_Romaniot	Romaniot
27_Yemenite	Yemenite
28_Waldensian	Waldensian
29_Lollard	Lollard
30_Moravian	Moravian
31_Ultraquist	Ultraquist
32_Hutterite	Hutterite
33_PolishUnitarian	PolishUnitarian
34_TransylvaniaUnitarian	TransylvaniaUnitarian
35_DutchReformed	DutchReformed
36_Remonstrant	Remonstrant
37_SwissReformed	SwissReformed
38_GeneralBaptist	GeneralBaptist
39_SeventhDayBaptist	7thDayBaptist
40_Sephardic	Sephardic
41_Shabbatean	Shabbatean
42_Yakubi	Yakubi
43_AssociatePresbyterian	AssocPresbyt
44_ReformedPresbyterian	ReformedPresbyt
45_Mennonite	Mennonite
46_Fedoseevtsy	Fedoseevtsy
47_GermanBaptist	GermanBaptist
48_Doukhobor	Doukhobor
49_EasternOrthodox	EasternOrthodox
50_Kapanci	Kapanci
51_RegularBaptist	RegularBaptist
52_SeparateBaptist	SeparateBaptist
53_Shaker	Shaker
54_Filippovtsy	Filippovtsy
55_Pomortsy	Pomortsy
56_Frankist	Frankist
57_Karakas	Karakas
58_CalvinistMethodist	CalvinMethodist
59_Universalist	Universalist
60_BritishUnitarian	BritishUnitarian
61_Mitnagged	Mitnagged
62_Belokrinitsy	Belokrinitsy
63_Chasovennye	Chasovennye
64_Bratslav	Bratslav
65_Chernobyl	Chernobyl
66_Habad	Habad
67_Kaliv	Kaliv
68_Komarno	Komarno
69_Munkatsch	Munkatsch
70_Sighet	Sighet
71_AfricanMethodist	AfricanMethodist
72_PrimitiveMethodist	PrimitiveMethodist
73_CumberlandPresbyterian	CumberlandPresbyt
74_OtherBaptist	OtherBaptist
75_StrictBaptist	StrictBaptist
76_AmericanUnitarian	AmericanUnitarian
77_Congregationalist	Congregationalist
78_PrimitiveBaptist	PrimitiveBaptist
79_Karlin	Karlin
80_Slonim	Slonim
81_Hicksite	Hicksite
82_Anglican	Anglican
83_MethodistProtestant	MethodistProtestant
84_Belz	Belz
85_Radomsk	Radomsk
86_Gurneyite	Gurneyite
87_OtherQuaker	OtherQuaker
88_FreeKirk	FreeKirk
89_OtherPresbyterian	OtherPresbyt
